,Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,ScreenSize
0,Apple,Ultrabook,8,1.37,11.17575455,0,1,226.9830047,Intel Core i5,0,128,Intel,Mac,310.9667164
1,Apple,Ultrabook,8,1.34,10.77677732,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,171.0884398
2,HP,Notebook,8,1.86,10.32993107,0,0,141.2119981,Intel Core i5,0,256,Intel,Others,262.6543164
3,Apple,Ultrabook,16,1.83,11.81447594,0,1,220.5346239,Intel Core i7,0,512,AMD,Mac,403.5783617
4,Apple,Ultrabook,8,1.37,11.47310097,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac,310.9667164
5,Acer,Notebook,4,2.1,9.967025573,0,0,100.4546699,AMD Processor,500,0,AMD,Windows,210.9548067
6,Apple,Ultrabook,16,2.04,11.64410812,0,1,220.5346239,Intel Core i7,0,0,Intel,Mac,449.8906327
7,Apple,Ultrabook,8,1.34,11.03061499,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,171.0884398
8,Asus,Ultrabook,16,1.3,11.28544251,0,0,157.3505121,Intel Core i7,0,512,Nvidia,Windows,204.5556658
9,Acer,Ultrabook,8,1.6,10.62195154,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows,251.7608194
10,HP,Notebook,4,1.86,9.951658096,0,0,100.4546699,Intel Core i5,500,0,Intel,Others,186.8456859
11,HP,Notebook,4,1.86,9.819076457,0,0,141.2119981,Intel Core i3,500,0,Intel,Others,262.6543164
12,Apple,Ultrabook,16,1.83,11.77530205,0,1,220.5346239,Intel Core i7,0,256,AMD,Mac,403.5783617
13,Dell,Notebook,4,2.2,10.1879667,0,0,141.2119981,Intel Core i3,0,256,AMD,Windows,310.6663958
14,Apple,Ultrabook,8,0.92,11.11633098,0,1,226.4155472,Other Intel Processor,0,256,Intel,Mac,208.3023034
15,Apple,Ultrabook,8,1.37,11.30107224,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac,310.9667164
16,Dell,Notebook,8,2.2,10.58894524,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,310.6663958
17,Apple,Ultrabook,16,1.83,11.93343838,0,1,220.5346239,Intel Core i7,0,512,AMD,Mac,403.5783617
18,Lenovo,Notebook,8,2.2,10.18816712,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,Others,310.6663958
19,Dell,Ultrabook,8,1.22,10.86209267,1,1,165.6321181,Intel Core i5,0,128,Intel,Windows,202.071184
20,Asus,Netbook,2,0.98,9.232535429,0,0,135.0942112,Other Intel Processor,0,0,Intel,Windows,132.392327
